(625.0 0.51064 400.0)
(625.0 1.53786 400.0)
(625.0 2.57704 400.0)
(625.0 3.62831 400.0)
(625.0 4.69182 400.0)
(625.0 5.76771 400.0)
(625.0 6.85611 400.0)
(625.0 7.95718 400.0)
(625.0 9.07107 400.0)
(625.0 10.1979 400.0)
(625.0 11.3379 400.0)
(625.0 12.4911 400.0)
(625.0 13.6578 400.0)
(625.0 14.838 400.0)
(625.0 16.032 400.0)
(625.0 17.2398 400.0)
(625.0 18.4617 400.0)
(625.0 19.6979 400.0)
(625.0 20.9484 400.0)
(625.0 22.2135 400.0)
(625.0 23.4933 400.0)
(625.0 24.788 400.0)
(625.0 26.0977 400.0)
(625.0 27.4227 400.0)
(625.0 28.7632 400.0)
(625.0 30.1192 400.0)
(625.0 31.491 400.0)
(625.0 32.8788 400.0)
(625.0 34.2827 400.0)
(625.0 35.703 400.0)
(625.0 37.1398 400.0)
(625.0 38.5933 400.0)
(625.0 40.0637 400.0)
(625.0 41.5512 400.0)
(625.0 43.0561 400.0)
(625.0 44.5785 400.0)
(625.0 46.1185 400.0)
(625.0 47.6765 400.0)
(625.0 49.2527 400.0)
(625.0 50.8472 400.0)
(625.0 52.4602 400.0)
(625.0 54.092 400.0)
(625.0 55.7428 400.0)
(625.0 57.4128 400.0)
(625.0 59.1023 400.0)
(625.0 60.8114 400.0)
(625.0 62.5404 400.0)
(625.0 64.2895 400.0)
(625.0 66.059 400.0)
(625.0 67.8491 400.0)
(625.0 69.66 400.0)
(625.0 71.492 400.0)
(625.0 73.3453 400.0)
(625.0 75.2201 400.0)
(625.0 77.1168 400.0)
(625.0 79.0356 400.0)
(625.0 80.9767 400.0)
(625.0 82.9404 400.0)
(625.0 84.9269 400.0)
(625.0 86.9366 400.0)
(625.0 88.9696 400.0)
(625.0 91.0263 400.0)
(625.0 93.107 400.0)
(625.0 95.2118 400.0)
(625.0 97.3412 400.0)
(625.0 99.4953 400.0)
(625.0 101.675 400.0)
(625.0 103.879 400.0)
(625.0 106.109 400.0)
(625.0 108.366 400.0)
(625.0 110.648 400.0)
(625.0 112.957 400.0)
(625.0 115.293 400.0)
(625.0 117.656 400.0)
(625.0 120.046 400.0)
(625.0 122.465 400.0)
(625.0 124.911 400.0)
(625.0 127.386 400.0)
(625.0 129.89 400.0)
(625.0 132.423 400.0)
(625.0 134.985 400.0)
(625.0 137.578 400.0)
(625.0 140.2 400.0)
(625.0 142.853 400.0)
(625.0 145.537 400.0)
(625.0 148.252 400.0)
(625.0 150.999 400.0)
(625.0 153.777 400.0)
(625.0 156.588 400.0)
(625.0 159.432 400.0)
(625.0 162.308 400.0)
(625.0 165.219 400.0)
(625.0 168.163 400.0)
(625.0 171.141 400.0)
(625.0 174.154 400.0)
(625.0 177.202 400.0)
(625.0 180.286 400.0)
(625.0 183.405 400.0)
(625.0 186.561 400.0)
(625.0 189.753 400.0)
(625.0 192.983 400.0)
(625.0 196.25 400.0)
(625.0 199.556 400.0)
(625.0 202.899 400.0)
(625.0 206.282 400.0)
(625.0 209.704 400.0)
(625.0 213.166 400.0)
(625.0 216.668 400.0)
(625.0 220.211 400.0)
(625.0 223.795 400.0)
(625.0 227.42 400.0)
(625.0 231.088 400.0)
(625.0 234.799 400.0)
(625.0 238.553 400.0)
(625.0 242.351 400.0)
(625.0 246.192 400.0)
(625.0 250.079 400.0)
(625.0 254.01 400.0)
(625.0 257.988 400.0)
(625.0 262.012 400.0)
(625.0 266.082 400.0)
(625.0 270.2 400.0)
(625.0 274.366 400.0)
(625.0 278.58 400.0)
(625.0 282.844 400.0)
(625.0 287.157 400.0)
(625.0 291.52 400.0)
(625.0 295.934 400.0)
(625.0 300.399 400.0)
(625.0 304.917 400.0)
(625.0 309.487 400.0)
(625.0 314.11 400.0)
(625.0 318.787 400.0)
(625.0 323.518 400.0)
(625.0 328.304 400.0)
(625.0 333.146 400.0)
(625.0 338.045 400.0)
(625.0 343.0 400.0)
(625.0 348.013 400.0)
(625.0 353.085 400.0)
(625.0 358.215 400.0)
(625.0 363.405 400.0)
(625.0 368.656 400.0)
(625.0 373.968 400.0)
(625.0 379.341 400.0)
(625.0 384.777 400.0)
(625.0 390.277 400.0)
(625.0 395.84 400.0)
(625.0 401.468 400.0)
(625.0 407.161 400.0)
(625.0 412.921 400.0)
(625.0 418.748 400.0)
(625.0 424.643 400.0)
(625.0 430.606 400.0)
(625.0 436.639 400.0)
(625.0 442.742 400.0)
(625.0 448.915 400.0)
(625.0 455.161 400.0)
(625.0 461.48 400.0)
(625.0 467.872 400.0)
(625.0 474.338 400.0)
(625.0 480.88 400.0)
(625.0 487.497 400.0)
(625.0 494.192 400.0)
(625.0 500.965 400.0)
(625.0 507.816 400.0)
(625.0 514.748 400.0)
(625.0 521.759 400.0)
(625.0 528.853 400.0)
(625.0 536.029 400.0)
(625.0 543.289 400.0)
(625.0 550.633 400.0)
(625.0 558.062 400.0)
(625.0 565.578 400.0)
(625.0 573.182 400.0)
(625.0 580.874 400.0)
(625.0 588.655 400.0)
(625.0 596.527 400.0)
(625.0 604.491 400.0)
(625.0 612.547 400.0)
(625.0 620.697 400.0)
(625.0 628.942 400.0)
(625.0 637.283 400.0)
(625.0 645.721 400.0)
(625.0 654.257 400.0)
(625.0 662.893 400.0)
(625.0 671.629 400.0)
(625.0 680.466 400.0)
(625.0 689.407 400.0)
(625.0 698.452 400.0)
(625.0 707.601 400.0)
(625.0 716.858 400.0)
(625.0 726.222 400.0)
(625.0 735.695 400.0)
(625.0 745.278 400.0)
(625.0 754.973 400.0)
(625.0 764.781 400.0)
(625.0 774.702 400.0)
(625.0 784.74 400.0)
(625.0 794.894 400.0)
